highway,direction,exit,exit_name
Bronx River Parkway, NB, Bronx/Westchester County Line
Bronx River Parkway, SB, Bronx/Westchester County Line
Bronx River Parkway, SB, Exit 10, E. 233rd St
Bronx River Parkway, SB, Exit 9, Gun Hill Rd
Bronx River Parkway, SB, Exits 8W-E, Mosholu Pkwy/Allerton Ave
Bronx River Parkway, SB, Exit 7W, SB Fordham Rd
Bronx River Parkway, SB, Exit 7E, Pelham Pkwy
Bronx River Parkway, SB, Exit 6, NB Boston Rd/Bronx Zoo
Bronx River Parkway, SB, Exit 5, Sherifan Blvd/RFK Br/E. 177th St
Bronx River Parkway, SB, Exit 4, Cross Bronx Expwy
Bronx River Parkway, SB, Exit 3, Westchester Ave
Bronx River Parkway, SB, Exit 2E, Bruckner Expwy
Bronx River Parkway, SB, Exit 1, Story Ave

Hutchinson River Parkway, NB, Cross Bronx Expwy
Hutchinson River Parkway, NB, Exit 1A, WB Bruckner Blvd
Hutchinson River Parkway, NB, Exit 1B, E. Tremont Ave/Westchester Ave
Hutchinson River Parkway, NB, Exit 1C, EB Pelham Pkwy
Hutchinson River Parkway, NB, Exit 1D, WB Pelham Pkwy
Hutchinson River Parkway, NB, Exit 2, Bartow Ave
Hutchinson River Parkway, NB, Exit 3, Orchard Beach/City Island
Hutchinson River Parkway, NB, Exit 48, NB New England Thruway
Hutchinson River Parkway, NB, Bronx/Westchester County Line
Hutchinson River Parkway, SB, Bronx/Westchester County Line
Hutchinson River Parkway, SB, Exit 3, Orchard Beach
Hutchinson River Parkway, SB, Exit 2B, NB New England Thruway
Hutchinson River Parkway, SB, Exit 2A, SB Cross Bronx Expwy/GWB
Hutchinson River Parkway, SB, Exit 1C, EB Pelham Pkwy
Hutchinson River Parkway, SB, Exit 1B, E. Tremont Ave/Westchester Ave
Hutchinson River Parkway, SB, Exit 1A, Bruckner Blvd/Cross Bronx Expwy/Bruckner Expwy
Hutchinson River Parkway, SB, Whitestone Br

Trans Manhattan Expressway, NB, GWB
Trans Manhattan Expressway, NB, Exit 1A, Henry Hudson Pkwy/W. 178th St
Trans Manhattan Expressway, NB, Exit 1B, SB Harlem River Dr
Cross Bronx Expressway, NB, Exits 1C-D, Major Deegan Expwy
Cross Bronx Expressway, NB, Exit 2A, Jerome Ave
Cross Bronx Expressway, NB, Exit 2B, NB Webster Ave
Cross Bronx Expressway, NB, Exit 4A, SB Sheridan Blvd
Cross Bronx Expressway, NB, Exit 4B, Rosedale Ave/Bronx River Pkwy
Cross Bronx Expressway, NB, Exit 5A, White Plains Rd/Westchester Ave
Cross Bronx Expressway, NB, Exit 5B, Castle Hill Rd
Cross Bronx Expressway, NB, Exit 6A, Whitestone Br
Cross Bronx Expressway, NB, Exit 6B, Throgs Neck Br
Bruckner Expressway, NB, Exit 7C, Country Club Rd/Pelham Bay Park
Bruckner Expressway, NB, Exit 8, Pelham Pkwy
New England Thruway, NB, Exit 9, NB Hutchinson River Pkwy
New England Thruway, NB, Exit 10, Gun Hill Rd
New England Thruway, NB, Exit 11, Bartow Ave/Co-op City Blvd
New England Thruway, NB, Exit 12, Baychester Ave
New England Thruway, NB, Exit 13, Conner St
